PART NUMBER,GROUP,CUST PRICE,RET PRICE,CATEGORY
000660,PRICEGROUP1,35.5907,88.3627,3050
000660,PRICEGROUP2,35.5907,88.3627,3040
000660,PRICEGROUP3,39.2728,88.3627,3030
000660,PRICEGROUP4,44.1814,88.3627,3020
000660,PRICEGROUP5,47.8625,88.3627,3010
000660,PRICEGROUP6,35.5907,88.3627,3031
000660,PRICEGROUP7,44.1814,88.3627,3021
000680,PRICEGROUP1,35.5907,88.3627,3050
000680,PRICEGROUP2,35.5907,88.3627,3040
000680,PRICEGROUP3,39.2728,88.3627,3030
000680,PRICEGROUP4,44.1814,88.3627,3020
000680,PRICEGROUP5,47.8625,88.3627,3010
000680,PRICEGROUP6,35.5907,88.3627,3031
000680,PRICEGROUP7,44.1814,88.3627,3021
000688,PRICEGROUP1,32.9518,81.8109,3050
000688,PRICEGROUP2,32.9518,81.8109,3040
000688,PRICEGROUP3,36.3609,81.8109,3030
000688,PRICEGROUP4,40.9055,81.8109,3020
000688,PRICEGROUP5,44.3137,81.8109,3010
000688,PRICEGROUP6,32.9518,81.8109,3031
000688,PRICEGROUP7,40.9055,81.8109,3021
000691,PRICEGROUP1,32.9518,81.8109,3050
000691,PRICEGROUP2,32.9518,81.8109,3040
000691,PRICEGROUP3,36.3609,81.8109,3030
000691,PRICEGROUP4,40.9055,81.8109,3020
000691,PRICEGROUP5,44.3137,81.8109,3010
000691,PRICEGROUP6,32.9518,81.8109,3031
000691,PRICEGROUP7,40.9055,81.8109,3021
000700,PRICEGROUP1,35.5907,88.3627,3050
000700,PRICEGROUP2,35.5907,88.3627,3040
000700,PRICEGROUP3,39.2728,88.3627,3030
000700,PRICEGROUP4,44.1814,88.3627,3020
000700,PRICEGROUP5,47.8625,88.3627,3010
000700,PRICEGROUP6,35.5907,88.3627,3031
000700,PRICEGROUP7,44.1814,88.3627,3021
000720,PRICEGROUP1,32.9518,81.8109,3050
000720,PRICEGROUP2,32.9518,81.8109,3040
000720,PRICEGROUP3,36.3609,81.8109,3030
000720,PRICEGROUP4,40.9055,81.8109,3020
000720,PRICEGROUP5,44.3137,81.8109,3010
000720,PRICEGROUP6,32.9518,81.8109,3031
000720,PRICEGROUP7,40.9055,81.8109,3021
000802,PRICEGROUP1,32.9518,81.8109,3050
000802,PRICEGROUP2,32.9518,81.8109,3040
000802,PRICEGROUP3,36.3609,81.8109,3030
000802,PRICEGROUP4,40.9055,81.8109,3020
000802,PRICEGROUP5,44.3137,81.8109,3010
000802,PRICEGROUP6,32.9518,81.8109,3031
000802,PRICEGROUP7,40.9055,81.8109,3021
000810,PRICEGROUP1,32.9518,81.8109,3050
000810,PRICEGROUP2,32.9518,81.8109,3040
000810,PRICEGROUP3,36.3609,81.8109,3030
000810,PRICEGROUP4,40.9055,81.8109,3020
000810,PRICEGROUP5,44.3137,81.8109,3010
000810,PRICEGROUP6,32.9518,81.8109,3031
000810,PRICEGROUP7,40.9055,81.8109,3021
000814,PRICEGROUP1,32.9518,81.8109,3050
000814,PRICEGROUP2,32.9518,81.8109,3040
000814,PRICEGROUP3,36.3609,81.8109,3030
000814,PRICEGROUP4,40.9055,81.8109,3020
000814,PRICEGROUP5,44.3137,81.8109,3010
000814,PRICEGROUP6,32.9518,81.8109,3031
000814,PRICEGROUP7,40.9055,81.8109,3021
000830,PRICEGROUP1,32.9518,81.8109,3050
000830,PRICEGROUP2,32.9518,81.8109,3040
000830,PRICEGROUP3,36.3609,81.8109,3030
000830,PRICEGROUP4,40.9055,81.8109,3020
000830,PRICEGROUP5,44.3137,81.8109,3010
000830,PRICEGROUP6,32.9518,81.8109,3031
000830,PRICEGROUP7,40.9055,81.8109,3021
000900,PRICEGROUP1,35.5907,88.3627,3050
000900,PRICEGROUP2,35.5907,88.3627,3040
000900,PRICEGROUP3,39.2728,88.3627,3030
000900,PRICEGROUP4,44.1814,88.3627,3020
000900,PRICEGROUP5,47.8625,88.3627,3010
